CHEBI_ID	Metabolite_name	Starting metabolite	Path																		
CHEBI:32879	propane	acetyl-CoA	21036	30799	26561	52574	30071	BCAR	ADO												
CHEBI:57286	acetoacetyl-CoA(4-)	acetyl-CoA	21036																		
CHEBI:57316	(S)-3-hydroxybutanoyl-CoA(4-)	acetyl-CoA	21036	30799																	
CHEBI:57315	(R)-3-hydroxybutanoyl-CoA(4-)	acetyl-CoA	21036	45798																	
CHEBI:57332	crotonoyl-CoA(4-)	acetyl-CoA	21036	30799	26561																
CHEBI:57371	butyryl-CoA(4-)	acetyl-CoA	21036	30799	26561	52574															
CHEBI:17968	butyrate	acetyl-CoA	21036	30799	26561	52574	30071														
CHEBI:28885	butan-1-ol	acetyl-CoA	21036	30799	26561	52574	BUTAD														
CHEBI:15740	formate	pyruvate	11844																		
CHEBI:15343	acetaldehyde	pyruvate	45485																		
CHEBI:30089	acetate	acetyl-CoA	19521	11352																	
CHEBI:16236	ethanol	pyruvate	45485	25290																	
CHEBI:88764	ethyl butyrate	acetyl-CoA	21036	30799	26561	52574	BAAT														
CHEBI:15347	acetone	acetyl-CoA	21036	12963	19730																
CHEBI:15347	acetone	acetyl-CoA	21036	27806	19730																
CHEBI:17824	propan-2-ol	acetyl-CoA	21036	27806	19730	21792															
CHEBI:R13BDO	butane-1,3-diol	acetyl-CoA	21036	45798	ADHBC	ADHBDO															
CHEBI:10983	(R)-3-hydroxybutyrate	acetyl-CoA	21036	45798	R3HBS																
CHEBI:19641	2-hydroxyisobutyrate	acetyl-CoA	21036	30799	49592	HIBACL															
CHEBI:17240	itaconate(2-)	cis-aconitate(3-)	15255																		
CHEBI:29985	L-glutamate(1-)	2-oxoglutarate(2-)	11614																		
CHEBI:59888	gamma-aminobutyric acid zwitterion	2-oxoglutarate(2-)	11614	17786																	
CHEBI:17120	hexanoate	acetyl-CoA	21036	30799	26561	52574	31111	31143	30547	52578	HXCT										
CHEBI:25646	octanoate	acetyl-CoA	21036	30799	26561	52574	31111	31143	30547	52578	31203	31195	31199	48180	OXCT						
CHEBI:37830	pentane	acetyl-CoA	21036	30799	26561	52574	31111	31143	30547	52578	HXCT	ALDDNADP	ADCN								
CHEBI:143075	L-homocarnosine zwitterion	2-oxoglutarate(2-)	11614	17786	59569																
CHEBI:36464	(R)-mevalonate	acetyl-CoA	21036	10189	15991																
CHEBI:128769	isopentenyl diphosphate(3-)	acetyl-CoA	21036	10189	15991	17066	16342	23733													
CHEBI:35194	isoprene	acetyl-CoA	21036	10189	15991	17066	16342	23733	23284	13370											
CHEBI:57352	4-aminobutanoyl-CoA(3-)	2-oxoglutarate(2-)	11614	17786	ACT																
CHEBI:62898	isopentenyl alcohol	acetyl-CoA	21036	10189	15991	17066	16342	23733	NUDF1	NUDF2											
CHEBI:58057	geranyl diphosphate(3-)	acetyl-CoA	21036	10189	15991	17066	16342	23733	22409												
CHEBI:17447	geraniol	acetyl-CoA	21036	10189	15991	17066	16342	23733	22409	32680											
CHEBI:175763	2-trans,6-trans-farnesyl diphosphate(3-)	acetyl-CoA	21036	10189	15991	17066	16342	23733	22409	19362											
CHEBI:16619	(2-trans,6-trans)-farnesol	acetyl-CoA	21036	10189	15991	17066	16342	23733	22409	19362	27527										
CHEBI:58756	2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3-)	acetyl-CoA	21036	10189	15991	17066	16342	23733	22409	19362	17654										
